_,CO2,CH4,C3H8,NG,SPEC
$,352.00,0.00,74.00,,23.00
$,390.00,0.00,69.00,,23.00
$,337.00,0.00,63.00,,23.00
$,434.00,0.00,60.00,,23.00
$,445.00,0.00,59.00,,23.00
$,441.00,0.00,57.00,,23.00
$,445.00,0.00,57.00,,23.00
$,470.00,0.00,59.00,,23.00
$,448.00,0.00,60.00,,23.00
$,441.00,0.00,62.00,,23.00
$,441.00,0.00,61.00,,23.00
$,334.00,0.00,62.00,,23.00
$,337.00,0.00,64.00,,23.00
$,337.00,0.00,64.00,,23.00
$,340.00,0.00,67.00,,23.00
$,337.00,0.00,67.00,,23.00
$,334.00,0.00,69.00,,23.00
$,337.00,0.00,69.00,,23.00
$,337.00,0.00,70.00,,23.00
$,337.00,0.00,71.00,,23.00
$,337.00,0.00,73.00,,23.00
$,337.00,0.00,73.00,,23.00
$,337.00,0.00,74.00,,23.00
$,343.00,0.00,75.00,,23.00
$,343.00,0.00,76.00,,23.00
$,343.00,0.00,77.00,,23.00
$,340.00,0.00,78.00,,23.00
$,340.00,0.00,79.00,,23.00
$,340.00,0.00,80.00,,23.00
$,343.00,0.00,82.00,,23.00
$,340.00,0.00,83.00,,23.00
$,337.00,0.00,83.00,,23.00
$,337.00,0.00,84.00,,23.00
$,337.00,0.00,85.00,,23.00
$,334.00,0.00,86.00,,23.00
$,337.00,0.00,88.00,,23.00
$,340.00,0.00,88.00,,23.00
$,337.00,0.00,89.00,,23.00
$,337.00,0.00,90.00,,23.00
$,340.00,0.00,90.00,,23.00
$,337.00,0.00,91.00,,23.00
$,334.00,0.00,93.00,,23.00
$,337.00,0.00,93.00,,23.00
$,337.00,0.00,94.00,,23.00
$,334.00,0.00,94.00,,23.00
$,337.00,0.00,96.00,,23.00
$,326.00,0.00,96.00,,23.00
$,323.00,0.00,97.00,,23.00
$,323.00,0.00,97.00,,23.00
$,331.00,0.00,98.00,,23.00
$,326.00,0.00,99.00,,23.00
$,320.00,0.00,99.00,,23.00
$,361.00,0.00,100.00,23.00,
$,317.00,0.00,101.00,23.00,
$,317.00,0.00,101.00,23.00,
$,314.00,0.00,101.00,23.00,
$,317.00,0.00,102.00,23.00,
$,314.00,0.00,103.00,23.00,
$,317.00,0.00,104.00,23.00,
$,317.00,0.00,104.00,23.00,
$,320.00,0.00,104.00,23.00,
$,320.00,0.00,105.00,23.00,
$,320.00,0.00,105.00,23.00,
$,317.00,0.00,105.00,23.00,
$,317.00,0.00,106.00,23.00,
$,311.00,0.00,106.00,23.00,
$,317.00,0.00,107.00,23.00,
$,311.00,0.00,107.00,23.00,
$,311.00,0.00,108.00,23.00,
$,309.00,0.00,108.00,23.00,
$,311.00,0.00,108.00,23.00,
$,309.00,0.00,108.00,23.00,
$,314.00,0.00,109.00,23.00,
$,326.00,0.00,109.00,23.00,
$,320.00,0.00,110.00,23.00,
$,320.00,0.00,110.00,23.00,
$,317.00,0.00,110.00,23.00,
$,311.00,0.00,111.00,23.00,
$,309.00,0.00,111.00,23.00,
$,331.00,0.00,111.00,23.00,
$,326.00,0.00,110.00,23.00,
$,334.00,0.00,111.00,23.00,
$,334.00,0.00,111.00,23.00,
$,326.00,0.00,111.00,23.00,
$,328.00,0.00,111.00,23.00,
$,328.00,0.00,112.00,23.00,
$,309.00,0.00,112.00,23.00,
$,328.00,0.00,112.00,23.00,
$,309.00,0.00,112.00,23.00,
$,323.00,0.00,112.00,23.00,
$,323.00,0.00,112.00,23.00,
$,323.00,0.00,113.00,23.00,
$,328.00,0.00,113.00,23.00,
$,306.00,0.00,112.00,23.00,
$,311.00,0.00,113.00,23.00,
$,314.00,0.00,113.00,23.00,
$,320.00,0.00,113.00,23.00,
$,326.00,0.00,113.00,23.00,
$,320.00,0.00,113.00,23.00,
$,298.00,0.00,113.00,23.00,
$,317.00,0.00,113.00,23.00,
$,328.00,0.00,113.00,23.00,
$,320.00,0.00,113.00,23.00,
$,323.00,0.00,113.00,23.00,
$,309.00,0.00,113.00,23.00,
$,311.00,0.00,114.00,23.00,
$,309.00,0.00,114.00,23.00,
$,306.00,0.00,114.00,23.00,
$,311.00,0.00,114.00,23.00,
$,309.00,0.00,114.00,23.00,
$,311.00,0.00,114.00,23.00,
$,320.00,0.00,114.00,23.00,
$,326.00,0.00,114.00,23.00,
$,326.00,0.00,114.00,23.00,
$,320.00,0.00,114.00,23.00,
$,314.00,0.00,114.00,23.00,
$,303.00,0.00,114.00,23.00,
$,311.00,0.00,114.00,23.00,
$,317.00,0.00,114.00,23.00,
$,309.00,0.00,114.00,23.00,
$,311.00,0.00,114.00,23.00,
$,314.00,0.00,114.00,23.00,
$,317.00,0.00,113.00,23.00,
$,317.00,0.00,115.00,23.00,
$,326.00,0.00,114.00,23.00,
$,326.00,0.00,114.00,23.00,
$,323.00,0.00,113.00,23.00,
$,323.00,0.00,114.00,23.00,
$,323.00,0.00,114.00,23.00,
$,334.00,0.00,114.00,23.00,
$,340.00,0.00,113.00,23.00,
$,349.00,0.00,113.00,23.00,
$,349.00,0.00,113.00,23.00,
$,331.00,0.00,113.00,23.00,
$,323.00,0.00,113.00,23.00,
$,320.00,0.00,113.00,23.00,
$,314.00,0.00,113.00,23.00,
$,306.00,0.00,113.00,23.00,
$,303.00,0.00,113.00,23.00,
$,295.00,0.00,113.00,23.00,
$,290.00,0.00,113.00,23.00,
$,290.00,0.00,113.00,23.00,
$,287.00,0.00,113.00,23.00,
$,284.00,0.00,112.00,23.00,
$,295.00,0.00,112.00,23.00,
$,290.00,0.00,112.00,23.00,
$,295.00,0.00,113.00,23.00,
$,295.00,0.00,112.00,23.00,
$,287.00,0.00,113.00,23.00,
$,287.00,0.00,112.00,23.00,
$,287.00,0.00,112.00,23.00,
$,287.00,0.00,112.00,23.00,
$,287.00,0.00,112.00,23.00,
$,292.00,0.00,112.00,23.00,
$,290.00,0.00,112.00,23.00,
$,295.00,0.00,111.00,23.00,
$,259.00,0.00,112.00,23.00,
$,295.00,0.00,112.00,23.00,
$,292.00,0.00,112.00,23.00,
$,256.00,0.00,111.00,23.00,
$,287.00,0.00,112.00,23.00,
$,287.00,0.00,112.00,23.00,
$,287.00,0.00,112.00,23.00,
$,292.00,0.00,111.00,23.00,
$,300.00,0.00,112.00,23.00,
$,306.00,0.00,111.00,23.00,
$,282.00,0.00,111.00,23.00,
$,290.00,0.00,112.00,23.00,
$,300.00,0.00,111.00,23.00,
$,298.00,0.00,111.00,23.00,
$,295.00,0.00,111.00,23.00,
$,290.00,0.00,111.00,23.00,
$,314.00,0.00,111.00,23.00,
$,314.00,0.00,111.00,23.00,
$,309.00,0.00,111.00,23.00,
$,303.00,0.00,111.00,23.00,
$,309.00,0.00,111.00,23.00,
$,300.00,0.00,111.00,23.00,
$,309.00,0.00,110.00,23.00,
$,317.00,0.00,111.00,23.00,
$,320.00,0.00,111.00,23.00,
$,303.00,0.00,110.00,23.00,
$,298.00,0.00,110.00,23.00,
$,300.00,0.00,111.00,23.00,
$,300.00,0.00,111.00,23.00,
$,306.00,0.00,110.00,23.00,
$,311.00,0.00,110.00,23.00,
$,317.00,0.00,110.00,23.00,
$,317.00,0.00,110.00,23.00,
$,323.00,0.00,110.00,23.00,
$,295.00,0.00,110.00,23.00,
$,311.00,0.00,110.00,23.00,
$,309.00,0.00,110.00,23.00,
$,300.00,0.00,110.00,23.00,
$,254.00,0.00,110.00,23.00,
$,287.00,0.00,110.00,23.00,
$,276.00,0.00,110.00,23.00,
$,274.00,0.00,110.00,23.00,
$,279.00,0.00,109.00,23.00,
$,276.00,0.00,109.00,23.00,
$,276.00,0.00,110.00,23.00,
$,282.00,0.00,109.00,23.00,
$,279.00,0.00,109.00,23.00,
$,287.00,0.00,109.00,23.00,
$,287.00,0.00,109.00,23.00,
$,300.00,0.00,109.00,23.00,
$,303.00,0.00,109.00,23.00,
$,287.00,0.00,109.00,23.00,
$,295.00,0.00,109.00,23.00,
$,287.00,0.00,109.00,23.00,
$,300.00,0.00,109.00,23.00,
$,300.00,0.00,109.00,23.00,
$,309.00,0.00,109.00,23.00,
$,298.00,0.00,109.00,23.00,
$,298.00,0.00,109.00,23.00,
$,298.00,0.00,109.00,23.00,
$,298.00,0.00,109.00,23.00,
$,300.00,0.00,109.00,23.00,
$,326.00,0.00,108.00,23.00,
$,334.00,0.00,108.00,23.00,
$,352.00,0.00,109.00,23.00,
$,361.00,0.00,108.00,23.00,
$,361.00,0.00,108.00,23.00,
$,361.00,0.00,108.00,23.00,
$,361.00,0.00,108.00,23.00,
$,352.00,0.00,109.00,23.00,
$,337.00,0.00,109.00,23.00,
$,334.00,0.00,108.00,23.00,
$,331.00,0.00,109.00,23.00,
$,334.00,0.00,108.00,23.00,
$,349.00,0.00,108.00,23.00,
$,352.00,0.00,108.00,23.00,
$,355.00,0.00,108.00,23.00,
$,352.00,0.00,109.00,23.00,
$,352.00,0.00,108.00,23.00,
$,349.00,0.00,108.00,23.00,
$,352.00,0.00,108.00,23.00,
$,349.00,0.00,108.00,23.00,
$,352.00,0.00,108.00,23.00,
$,352.00,0.00,108.00,23.00,
$,343.00,0.00,108.00,23.00,
$,346.00,0.00,108.00,23.00,
$,346.00,0.00,108.00,23.00,
$,343.00,0.00,108.00,23.00,
$,340.00,0.00,108.00,23.00,
$,334.00,0.00,108.00,23.00,
$,337.00,0.00,108.00,23.00,
$,337.00,0.00,108.00,23.00,
$,334.00,0.00,108.00,23.00,
$,326.00,0.00,108.00,23.00,
$,331.00,0.00,108.00,23.00,
$,346.00,0.00,107.00,23.00,
$,349.00,0.00,107.00,23.00,
$,352.00,0.00,108.00,23.00,
$,355.00,0.00,108.00,23.00,
$,355.00,0.00,108.00,23.00,
$,355.00,0.00,108.00,23.00,
$,355.00,0.00,108.00,23.00,
$,349.00,0.00,108.00,23.00,
$,352.00,0.00,108.00,23.00,
$,346.00,0.00,108.00,23.00,
$,349.00,0.00,108.00,23.00,
$,343.00,0.00,108.00,23.00,
$,352.00,0.00,108.00,23.00,
$,352.00,0.00,107.00,23.00,
$,352.00,0.00,107.00,23.00,
$,352.00,0.00,108.00,23.00,
$,343.00,0.00,108.00,23.00,
$,400.00,0.00,108.00,23.00,
$,397.00,0.00,108.00,23.00,
$,346.00,0.00,108.00,23.00,
$,410.00,0.00,108.00,23.00,
$,403.00,0.00,107.00,23.00,
$,352.00,0.00,108.00,23.00,
$,355.00,0.00,108.00,23.00,
$,361.00,0.00,108.00,23.00,
$,349.00,0.00,107.00,23.00,
$,349.00,0.00,107.00,23.00,
$,355.00,0.00,107.00,23.00,
$,334.00,0.00,107.00,23.00,
$,352.00,0.00,107.00,23.00,
$,352.00,0.00,107.00,23.00,
$,355.00,0.00,107.00,23.00,
$,358.00,0.00,106.00,23.00,
$,355.00,0.00,107.00,23.00,
$,361.00,0.00,107.00,23.00,
$,349.00,0.00,106.00,23.00,
$,352.00,0.00,106.00,23.00,
$,355.00,0.00,106.00,23.00,
$,358.00,0.00,106.00,23.00,
$,352.00,0.00,106.00,23.00,
$,352.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,352.00,0.00,105.00,23.00,
$,355.00,0.00,106.00,23.00,
$,358.00,0.00,106.00,23.00,
$,349.00,0.00,106.00,23.00,
$,340.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,340.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,352.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,346.00,0.00,105.00,23.00,
$,340.00,0.00,105.00,23.00,
$,355.00,0.00,105.00,23.00,
$,334.00,0.00,105.00,23.00,
$,334.00,0.00,105.00,23.00,
$,346.00,0.00,105.00,23.00,
$,346.00,0.00,105.00,23.00,
$,343.00,0.00,105.00,23.00,
$,343.00,0.00,105.00,23.00,
$,343.00,0.00,105.00,23.00,
$,340.00,0.00,105.00,23.00,
$,352.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,343.00,0.00,105.00,23.00,
$,343.00,0.00,105.00,23.00,
$,346.00,0.00,104.00,23.00,
$,352.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,355.00,0.00,106.00,23.00,
$,349.00,0.00,105.00,23.00,
$,334.00,0.00,105.00,23.00,
$,355.00,0.00,105.00,23.00,
$,352.00,0.00,105.00,23.00,
$,337.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,352.00,0.00,105.00,23.00,
$,358.00,0.00,104.00,23.00,
$,365.00,0.00,105.00,23.00,
$,368.00,0.00,105.00,23.00,
$,374.00,0.00,105.00,23.00,
$,374.00,0.00,105.00,23.00,
$,377.00,0.00,105.00,23.00,
$,371.00,0.00,105.00,23.00,
$,377.00,0.00,105.00,23.00,
$,380.00,0.00,105.00,23.00,
$,380.00,0.00,105.00,23.00,
$,380.00,0.00,105.00,23.00,
$,384.00,0.00,105.00,23.00,
$,384.00,0.00,105.00,23.00,
$,384.00,0.00,105.00,23.00,
$,387.00,0.00,105.00,23.00,
$,384.00,0.00,105.00,23.00,
$,309.00,0.00,105.00,23.00,
$,384.00,0.00,105.00,23.00,
$,397.00,0.00,105.00,23.00,
$,397.00,0.00,105.00,23.00,
$,400.00,0.00,105.00,23.00,
$,400.00,0.00,106.00,23.00,
$,400.00,0.00,105.00,23.00,
$,400.00,0.00,105.00,23.00,
$,400.00,0.00,105.00,23.00,
$,393.00,0.00,105.00,23.00,
$,380.00,0.00,105.00,23.00,
$,390.00,0.00,106.00,23.00,
$,384.00,0.00,106.00,23.00,
$,390.00,0.00,105.00,23.00,
$,358.00,0.00,105.00,23.00,
$,349.00,0.00,105.00,23.00,
$,361.00,0.00,105.00,23.00,
$,374.00,0.00,105.00,23.00,
$,340.00,0.00,106.00,23.00,
$,352.00,0.00,105.00,23.00,
$,368.00,0.00,105.00,23.00,
$,352.00,0.00,105.00,23.00,
$,355.00,0.00,105.00,23.00,
$,334.00,0.00,105.00,23.00,
$,343.00,0.00,105.00,23.00,
$,337.00,0.00,105.00,23.00,
$,334.00,0.00,105.00,23.00,
$,387.00,0.00,105.00,23.00,
$,387.00,0.00,105.00,23.00,
$,397.00,0.00,105.00,23.00,
$,390.00,0.00,105.00,23.00,
$,407.00,0.00,105.00,23.00,
$,407.00,0.00,105.00,23.00,
$,410.00,0.00,105.00,23.00,
$,413.00,0.00,105.00,23.00,
$,407.00,0.00,105.00,23.00,
$,393.00,0.00,105.00,23.00,
$,413.00,0.00,105.00,23.00,
$,413.00,0.00,105.00,23.00,
$,413.00,0.00,105.00,23.00,
$,410.00,0.00,105.00,23.00,
$,400.00,0.00,105.00,23.00,
$,397.00,0.00,105.00,23.00,
$,390.00,0.00,105.00,23.00,
$,393.00,0.00,105.00,23.00,
$,407.00,0.00,105.00,23.00,
$,410.00,0.00,105.00,23.00,
$,410.00,0.00,104.00,23.00,
$,420.00,0.00,104.00,23.00,
$,417.00,0.00,104.00,23.00,
$,410.00,0.00,104.00,23.00,
$,407.00,0.00,104.00,23.00,
$,410.00,0.00,104.00,23.00,
$,417.00,0.00,104.00,23.00,
$,413.00,0.00,104.00,23.00,
$,420.00,0.00,104.00,23.00,
$,417.00,0.00,104.00,23.00,
$,413.00,0.00,104.00,23.00,
$,410.00,0.00,104.00,23.00,
$,403.00,0.00,104.00,23.00,
$,417.00,0.00,104.00,23.00,
$,403.00,0.00,104.00,23.00,
$,403.00,0.00,104.00,23.00,
$,417.00,0.00,104.00,23.00,
$,403.00,0.00,105.00,23.00,
$,417.00,0.00,104.00,23.00,
$,397.00,0.00,104.00,23.00,
$,390.00,0.00,104.00,23.00,
$,413.00,0.00,104.00,23.00,
$,403.00,0.00,104.00,23.00,
$,387.00,0.00,104.00,23.00,
$,380.00,0.00,104.00,23.00,
$,403.00,0.00,104.00,23.00,
$,410.00,0.00,104.00,23.00,
$,407.00,0.00,104.00,23.00,
$,403.00,0.00,104.00,23.00,
$,407.00,0.00,104.00,23.00,
$,410.00,0.00,104.00,23.00,
$,407.00,0.00,104.00,23.00,
$,393.00,0.00,104.00,23.00,
$,424.00,0.00,104.00,23.00,
$,420.00,0.00,103.00,23.00,
$,417.00,0.00,102.00,23.00,
$,420.00,0.00,103.00,23.00,
$,417.00,0.00,103.00,23.00,
$,424.00,0.00,103.00,23.00,
$,410.00,0.00,103.00,23.00,
$,407.00,0.00,102.00,23.00,
$,397.00,0.00,103.00,23.00,
$,403.00,0.00,103.00,23.00,
$,403.00,0.00,103.00,23.00,
$,427.00,0.00,103.00,23.00,
$,431.00,0.00,103.00,23.00,
$,417.00,0.00,102.00,23.00,
$,431.00,0.00,102.00,23.00,
$,427.00,0.00,103.00,23.00,
$,427.00,0.00,103.00,23.00,
$,431.00,0.00,103.00,23.00,
$,427.00,0.00,103.00,23.00,
$,424.00,0.00,102.00,23.00,
$,420.00,0.00,102.00,23.00,
$,374.00,0.00,103.00,23.00,
$,403.00,0.00,103.00,23.00,
$,397.00,0.00,103.00,23.00,
$,387.00,0.00,103.00,23.00,
$,397.00,0.00,103.00,23.00,
$,393.00,0.00,103.00,23.00,
$,390.00,0.00,103.00,23.00,
$,397.00,0.00,103.00,23.00,
$,413.00,0.00,103.00,23.00,
$,424.00,0.00,103.00,23.00,
$,420.00,0.00,103.00,23.00,
$,434.00,0.00,103.00,23.00,
$,434.00,0.00,103.00,23.00,
$,431.00,0.00,103.00,23.00,
$,434.00,0.00,103.00,23.00,
$,431.00,0.00,103.00,23.00,
$,434.00,0.00,103.00,23.00,
$,434.00,0.00,103.00,23.00,
$,434.00,0.00,103.00,23.00,
$,434.00,0.00,103.00,23.00,
$,434.00,0.00,103.00,23.00,
$,352.00,0.00,103.00,23.00,
$,413.00,0.00,103.00,23.00,
$,420.00,0.00,103.00,23.00,
$,417.00,0.00,103.00,23.00,
$,424.00,0.00,103.00,23.00,
$,424.00,0.00,104.00,23.00,
$,417.00,0.00,103.00,23.00,
$,417.00,0.00,103.00,23.00,
$,427.00,0.00,103.00,23.00,
$,410.00,0.00,103.00,23.00,
$,413.00,0.00,103.00,23.00,
$,417.00,0.00,103.00,23.00,
$,420.00,0.00,104.00,23.00,
$,424.00,0.00,103.00,23.00,
$,424.00,0.00,103.00,23.00,
$,424.00,0.00,103.00,23.00,
$,420.00,0.00,104.00,23.00,
$,417.00,0.00,103.00,23.00,
$,403.00,0.00,103.00,23.00,
$,407.00,0.00,103.00,23.00,
$,410.00,0.00,103.00,23.00,
$,403.00,0.00,103.00,23.00,
$,413.00,0.00,103.00,23.00,
$,417.00,0.00,103.00,23.00,
$,424.00,0.00,104.00,23.00,
$,413.00,0.00,104.00,23.00,
$,410.00,0.00,103.00,23.00,
$,417.00,0.00,104.00,23.00,
$,410.00,0.00,103.00,23.00,
$,413.00,0.00,103.00,23.00,
$,410.00,0.00,103.00,23.00,
$,413.00,0.00,103.00,23.00,
$,410.00,0.00,103.00,23.00,
